Temperature_K,P_tunneling,P_classical,Ratio_Tunnel_to_Classical
270.00,2.742358e-04,2.513244e-06,1.091162e+02
276.67,2.742358e-04,3.429010e-06,7.997519e+01
283.33,2.742358e-04,4.610553e-06,5.948001e+01
290.00,2.742358e-04,6.115408e-06,4.484341e+01
296.67,2.742358e-04,8.009112e-06,3.424047e+01
303.33,2.742358e-04,1.036558e-05,2.645639e+01
310.00,2.742358e-04,1.326738e-05,2.066993e+01
316.67,2.742358e-04,1.680596e-05,1.631777e+01
323.33,2.742358e-04,2.108178e-05,1.300819e+01
330.00,2.742358e-04,2.620438e-05,1.046527e+01
